title,link,published_date,author,summary,categories,guid,tickers,companies
Transaction in Own Shares,https://www.globenewswire.com/news-release/2025/07/02/3109394/0/en/Transaction-in-Own-Shares.html,2025-07-02 16:00:00,,Transaction in Own Shares,"Amsterdam:SHELL, NYSE:SHEL, LSE:SHEL, GB00BP6MXD84, US7802593050, Changes in company's own shares, Other News, European Regulatory News",https://www.globenewswire.com/news-release/2025/07/02/3109394/0/en/Transaction-in-Own-Shares.html,[],[]
"Elementium awarded $100,000 SuperBoost Grant to scale production of next-generation battery electrolytes",https://www.globenewswire.com/news-release/2025/07/02/3109251/0/en/Elementium-awarded-100-000-SuperBoost-Grant-to-scale-production-of-next-generation-battery-electrolytes.html,2025-07-02 13:50:00,,"Elementium, an energy storage startup developing novel battery electrolytes, receives a $100,000 SuperBoost grant from the NSF Energy Storage Engine.",Financing Agreements,https://www.globenewswire.com/news-release/2025/07/02/3109251/0/en/Elementium-awarded-100-000-SuperBoost-Grant-to-scale-production-of-next-generation-battery-electrolytes.html,['NSF'],['Elementium']
NextNRG Appoints Global Logistics Authority Gary M. Goldfarb as Chairman of Newly Formed Strategic Advisory Board,https://www.globenewswire.com/news-release/2025/07/02/3109135/0/en/NextNRG-Appoints-Global-Logistics-Authority-Gary-M-Goldfarb-as-Chairman-of-Newly-Formed-Strategic-Advisory-Board.html,2025-07-02 12:15:00,,NextNRG Appoints Global Logistics Authority Gary M. Goldfarb as Chairman of Newly Formed Strategic Advisory Board,"Nasdaq:NXXT, US3023144062, Directors and Officers",https://www.globenewswire.com/news-release/2025/07/02/3109135/0/en/NextNRG-Appoints-Global-Logistics-Authority-Gary-M-Goldfarb-as-Chairman-of-Newly-Formed-Strategic-Advisory-Board.html,['NEXTNRG'],['NextNRG']
Enphase Energy Launches Next-Generation IQ EV Charger 2 In Australia and New Zealand,https://www.globenewswire.com/news-release/2025/07/02/3109101/20176/en/Enphase-Energy-Launches-Next-Generation-IQ-EV-Charger-2-In-Australia-and-New-Zealand.html,2025-07-02 12:00:00,,"FREMONT, Calif., July  02, 2025  (GLOBE NEWSWIRE) -- Enphase Energy, Inc. (NASDAQ: ENPH), a global energy technology company and the world's leading supplier of microinverter-based solar and battery systems, today announced production shipments of its newest electric vehicle (EV) charger, the IQ® EV Charger 2, in Australia and New Zealand. The IQ EV Charger 2 is a smart charger built to work seamlessly with Enphase solar and battery systems or as a powerful standalone charger. With advanced energy management features, the charger can support increased solar self-consumption, lower energy costs, and offer a smart, efficient EV charging experience.","Nasdaq:ENPH, US29355A1079, Product / Services Announcement",https://www.globenewswire.com/news-release/2025/07/02/3109101/20176/en/Enphase-Energy-Launches-Next-Generation-IQ-EV-Charger-2-In-Australia-and-New-Zealand.html,['ENPH'],"['Enphase Energy, Inc.']"
"Lelantos Holdings, Inc. Qualifies for OTC Level 2 Quotes, Enhancing Transparency and Investor Access",https://www.globenewswire.com/news-release/2025/07/02/3109108/0/en/Lelantos-Holdings-Inc-Qualifies-for-OTC-Level-2-Quotes-Enhancing-Transparency-and-Investor-Access.html,2025-07-02 12:00:00,,"TUCSON, Ariz., July  02, 2025  (GLOBE NEWSWIRE) -- via IBN – Lelantos Holdings, Inc. (OTC PINK: LNTO) (“Lelantos” or the “Company”), is pleased to announce its qualification for OTC Level 2 quotations on the OTC Markets platform.","OTC Markets:LNTO, US7427172009, Company Announcement, Management statements, Press releases",https://www.globenewswire.com/news-release/2025/07/02/3109108/0/en/Lelantos-Holdings-Inc-Qualifies-for-OTC-Level-2-Quotes-Enhancing-Transparency-and-Investor-Access.html,['LNTO'],"['Lelantos Holdings, Inc.']"
Diversified Energy Promotes Michael Garrett to Chief Accounting Officer,https://www.globenewswire.com/news-release/2025/07/02/3109061/0/en/Diversified-Energy-Promotes-Michael-Garrett-to-Chief-Accounting-Officer.html,2025-07-02 11:01:00,,Michael Garrett Promoted to CAO,"LSE:DEC, NYSE:DEC, GB00BQHP5P93, Directors and Officers, Management Changes",https://www.globenewswire.com/news-release/2025/07/02/3109061/0/en/Diversified-Energy-Promotes-Michael-Garrett-to-Chief-Accounting-Officer.html,['DEAC'],['Diversified Energy']
Shell plc filed amendments to its Form 20-Fs for 2023 and 2024 with SEC,https://www.globenewswire.com/news-release/2025/07/02/3109014/0/en/Shell-plc-filed-amendments-to-its-Form-20-Fs-for-2023-and-2024-with-SEC.html,2025-07-02 10:28:00,,"July 2, 2025","Amsterdam:SHELL, NYSE:SHEL, LSE:SHEL, GB00BP6MXD84, US7802593050, Other News, Company Announcement, European Regulatory News",https://www.globenewswire.com/news-release/2025/07/02/3109014/0/en/Shell-plc-filed-amendments-to-its-Form-20-Fs-for-2023-and-2024-with-SEC.html,['SHELL'],['Shell plc']
"Delfin Midstream Enters into an Agreement with Siemens Energy to Reserve Gas Turbine Manufacturing Capacity, Expects Fall Final Investment Decision for its Leading US Energy Infrastructure Project",https://www.globenewswire.com/news-release/2025/07/02/3108988/0/en/Delfin-Midstream-Enters-into-an-Agreement-with-Siemens-Energy-to-Reserve-Gas-Turbine-Manufacturing-Capacity-Expects-Fall-Final-Investment-Decision-for-its-Leading-US-Energy-Infrast.html,2025-07-02 09:30:00,,"HOUSTON, July  02, 2025  (GLOBE NEWSWIRE) -- Delfin Midstream Inc. (“Delfin” or the “Company”) announced today that it has entered into an agreement with Siemens Energy Inc. (“Siemens Energy”) to reserve manufacturing capacity for four SGT-750 Gas Turbine Mechanical Drive Packages. Delfin also announced that it has agreed to an Early Works program with Samsung Heavy Industries (“SHI”) and Black &amp; Veatch Inc. (“B&amp;V”) to further detail FLNG vessel design specifications as basis for the Lump-Sum Turn-Key Engineering, Procurement, Construction, and Integration (“EPCI”) contract and to prepare both contractors for the execution of the project. The Company’s activities are in support of a Final Investment Decision (“FID”) anticipated in the Fall of 2025 for its leading US energy infrastructure project under development in Louisiana and offshore in the Gulf.",Business Contracts,https://www.globenewswire.com/news-release/2025/07/02/3108988/0/en/Delfin-Midstream-Enters-into-an-Agreement-with-Siemens-Energy-to-Reserve-Gas-Turbine-Manufacturing-Capacity-Expects-Fall-Final-Investment-Decision-for-its-Leading-US-Energy-Infrast.html,"['DLF', 'SIEGY', 'BVE']","['Delfin Midstream Inc.', 'Siemens Energy Inc.', 'Samsung Heavy Industries', 'Black & Veatch Inc.']"
Equinor ASA: Gjennomført kapitalnedsettelse,https://www.globenewswire.com/news-release/2025/07/02/3108906/0/no/Equinor-ASA-Gjennomf%C3%B8rt-kapitalnedsettelse.html,2025-07-02 06:01:00,,"Generalforsamlingen i Equinor ASA (OSE: EQNR, NYSE: EQNR) vedtok den 14. mai 2025 at selskapets aksjekapital skal nedsettes med NOK 589.934.295 fra NOK 6.981.953.075 til NOK 6.392.018.780, ved sletting og innløsning av totalt 235.973.718 aksjer.","Oslo:EQNR, Oslo:EQNR01, NO0010096985, NO0010180540, Changes in share capital and votes, European Regulatory News",https://www.globenewswire.com/news-release/2025/07/02/3108906/0/no/Equinor-ASA-Gjennomf%C3%B8rt-kapitalnedsettelse.html,"['EQNR', 'EQNR']","['Equinor ASA', 'Equinor ASA']"
Transaction in Own Shares,https://www.globenewswire.com/news-release/2025/07/02/3108905/0/en/Transaction-in-Own-Shares.html,2025-07-02 06:01:00,,Transaction in Own Shares,"LSE:DEC, NYSE:DEC, GB00BQHP5P93, Changes in company's own shares, European Regulatory News",https://www.globenewswire.com/news-release/2025/07/02/3108905/0/en/Transaction-in-Own-Shares.html,[],[]
Equinor ASA: Completed share capital reduction,https://www.globenewswire.com/news-release/2025/07/02/3108906/0/en/Equinor-ASA-Completed-share-capital-reduction.html,2025-07-02 06:01:00,,"On 14 May 2025, the annual general meeting in Equinor ASA (OSE: EQNR, NYSE: EQNR) decided that the company's share capital shall be reduced by NOK 589,934,295 from NOK 6,981,953,075 to NOK 6,392,018,780, through cancellation and redemption of a total of 235,973,718 shares.","Oslo:EQNR, Oslo:EQNR01, NO0010096985, NO0010180540, Changes in share capital and votes, European Regulatory News",https://www.globenewswire.com/news-release/2025/07/02/3108906/0/en/Equinor-ASA-Completed-share-capital-reduction.html,"['EQNR', 'EQNR']","['Equinor ASA', 'Equinor ASA']"
"Due to EY non-compliance with audit partner rotation rules, Shell to update 2023 and 2024 Form 20-Fs; financial statements remain unchanged",https://www.globenewswire.com/news-release/2025/07/02/3108902/0/en/Due-to-EY-non-compliance-with-audit-partner-rotation-rules-Shell-to-update-2023-and-2024-Form-20-Fs-financial-statements-remain-unchanged.html,2025-07-02 06:00:00,,,"Amsterdam:SHELL, NYSE:SHEL, LSE:SHEL, GB00BP6MXD84, US7802593050, Other News, Company Announcement, European Regulatory News",https://www.globenewswire.com/news-release/2025/07/02/3108902/0/en/Due-to-EY-non-compliance-with-audit-partner-rotation-rules-Shell-to-update-2023-and-2024-Form-20-Fs-financial-statements-remain-unchanged.html,"['EY', 'SHELL']","['Ernst & Young', 'Royal Dutch Shell']"
DNO Secures North Sea Gas Offtake and Related USD 500 Million Financing Facility; Adds Arrows to its Quiver,https://www.globenewswire.com/news-release/2025/07/02/3108894/0/en/DNO-Secures-North-Sea-Gas-Offtake-and-Related-USD-500-Million-Financing-Facility-Adds-Arrows-to-its-Quiver.html,2025-07-02 05:30:00,,"Oslo, 2 July 2025 – DNO ASA, the Norwegian oil and gas operator, today announced that the Company’s wholly-owned Norway operating subsidiaries have entered into an offtake agreement with France’s ENGIE SA for DNO’s Norwegian gas production and secured a related offtake financing facility with a major US bank for up to USD 500 million.","Oslo:DNO, Oslo:DNO08, Oslo:DNO01, Oslo:DNO05, Oslo:DNO03, Oslo:DNO07, Oslo:DNO04, Oslo:DNO09, Oslo:DNO06, NO0003921009, NO0010302649, NO0010096126, NO0010270523, NO0010226574, NO0010283732, NO0010226582, NO0010398498, NO0010283724, MyWeb, Regulatory information, European Regulatory News",https://www.globenewswire.com/news-release/2025/07/02/3108894/0/en/DNO-Secures-North-Sea-Gas-Offtake-and-Related-USD-500-Million-Financing-Facility-Adds-Arrows-to-its-Quiver.html,"['DNO', 'ENGIE']","['DNO ASA', 'ENGIE SA']"
TGS Awarded Offshore Wind Site Characterization Contract,https://www.globenewswire.com/news-release/2025/07/02/3108892/0/en/TGS-Awarded-Offshore-Wind-Site-Characterization-Contract.html,2025-07-02 05:00:00,,"OSLO, Norway (2 July 2025) – TGS, a global leader in energy data and intelligence today announced the award of a contract for offshore wind site characterization, including acquisition, imaging and interpretation services offshore Norway. Ramform Vanguard will start acquisition in early July, with a duration of approximately 25 days. The imaging and interpretation work will commence concurrently with data acquisition and final data delivery to the client is expected in Q1 2026.","Oslo:TGS, NO0003078800, MyWeb, Regulatory information, European Regulatory News",https://www.globenewswire.com/news-release/2025/07/02/3108892/0/en/TGS-Awarded-Offshore-Wind-Site-Characterization-Contract.html,['TGS'],['TGS']
APA Corporation Releases 2025 Sustainability Publications,https://www.globenewswire.com/news-release/2025/07/01/3108849/0/en/APA-Corporation-Releases-2025-Sustainability-Publications.html,2025-07-01 22:50:00,,"HOUSTON, July  01, 2025  (GLOBE NEWSWIRE) -- APA Corporation (Nasdaq: APA) today released its sustainability publications highlighting progress in environmental stewardship, social responsibility and corporate governance throughout 2024. This year, APA simplified its reporting into two complementary documents. Our Approach to Sustainability details the ongoing sustainability programs and initiatives. The 2025 Sustainability Progress Report contains progress on 2024 goals, yearly highlights, key performance data and new goals for 2025. To explore the publications, visit https://apacorp.com/sustainability.","Nasdaq:APA, US03743Q1085, Research Analysis and Reports, Environmental, Social, and Governance Criteria",https://www.globenewswire.com/news-release/2025/07/01/3108849/0/en/APA-Corporation-Releases-2025-Sustainability-Publications.html,['APA'],['APA Corporation']
Amplify Energy Announces Sale of Non-Operated Eagle Ford Assets,https://www.globenewswire.com/news-release/2025/07/01/3108834/18120/en/Amplify-Energy-Announces-Sale-of-Non-Operated-Eagle-Ford-Assets.html,2025-07-01 21:24:00,,"HOUSTON, July  01, 2025  (GLOBE NEWSWIRE) -- Amplify Energy Corp. (NYSE: AMPY) (“Amplify,” the “Company,” “us,” or “our”) announced today it entered into a definitive agreement to sell all of its non-operated working interest in its Eagle Ford assets to Murphy Exploration &amp; Production Company -- USA for a contract price of $23 million, subject to certain post-closing adjustments. The sale closed July 1, 2025 and has an effective date of June 15, 2025.","NYSE:AMPY, US0321131023, Business Contracts",https://www.globenewswire.com/news-release/2025/07/01/3108834/18120/en/Amplify-Energy-Announces-Sale-of-Non-Operated-Eagle-Ford-Assets.html,['AMPY'],['Amplify Energy Corp.']
Plains All American's 2024 Schedule K-3 Now Available,https://www.globenewswire.com/news-release/2025/07/01/3108830/0/en/Plains-All-American-s-2024-Schedule-K-3-Now-Available.html,2025-07-01 21:00:00,,"HOUSTON, July  01, 2025  (GLOBE NEWSWIRE) -- Plains All American Pipeline, L.P. (Nasdaq: PAA) (the ""Partnership"") announced today that its 2024 Schedule K-3 reflecting items of international tax relevance is available online. Unitholders requiring this information may access their Schedules K-3 at www.taxpackagesupport.com/plainsallamerican.","Nasdaq:PAA, US7265031051, Company Regulatory Filings",https://www.globenewswire.com/news-release/2025/07/01/3108830/0/en/Plains-All-American-s-2024-Schedule-K-3-Now-Available.html,['PAA'],"['Plains All American Pipeline, L.P.']"
FSI ANNOUNCES RECEIPT OF A $2.5 MILLION PAYMENT FOR ASSISTING IN THE DEVELOPMENT A NEW FOOD GRADE PRODUCT,https://www.globenewswire.com/news-release/2025/07/01/3108827/0/en/FSI-ANNOUNCES-RECEIPT-OF-A-2-5-MILLION-PAYMENT-FOR-ASSISTING-IN-THE-DEVELOPMENT-A-NEW-FOOD-GRADE-PRODUCT.html,2025-07-01 21:00:00,,"TABER, ALBERTA, July  01, 2025  (GLOBE NEWSWIRE) -- FLEXIBLE SOLUTIONS INTERNATIONAL, INC. (NYSE Amex: FSI), is the developer and manufacturer of biodegradable polymers for oil extraction, detergent ingredients and water treatment as well as crop nutrient availability chemistry. Flexible Solutions also manufactures biodegradable and environmentally safe water and energy conservation technologies. FSI is also increasing its presense in the food and nutrition supplement manufacturing markets. Today the Company announces it has received payment of US$2.5million for assisting in developing a new food grade product.","NYSE:FSI, CA33938T1049, Press releases",https://www.globenewswire.com/news-release/2025/07/01/3108827/0/en/FSI-ANNOUNCES-RECEIPT-OF-A-2-5-MILLION-PAYMENT-FOR-ASSISTING-IN-THE-DEVELOPMENT-A-NEW-FOOD-GRADE-PRODUCT.html,['FSI'],"['Flexible Solutions International, Inc.']"
